Serial Number,Date,Heat Ratio,VPD,Ambient Temp
1,6/29/2019,1.004932619,1.663,30.7105
1,6/30/2019,1.004918228,1.857,32.2525
1,7/1/2019,1.004781767,1.36,29.465
1,7/2/2019,1.004472689,1.278,30.4195
1,7/3/2019,1.004596705,1.271,29.2895
1,7/4/2019,1.004907806,1.4445,30.332
1,7/5/2019,1.004950485,1.5275,31.1025
1,8/10/2019,1.005110545,1.871,27.186
1,8/11/2019,1.004306531,1.01,25.695
1,8/12/2019,1.003234603,0.873,27.554
1,8/13/2019,1.005170854,1.186,27.776
1,8/14/2019,1.005082006,0.9475,26.39
1,8/15/2019,1.005104093,1.1585,25.357
1,8/16/2019,1.005462272,1.229,27.3215
1,8/17/2019,1.001759571,0.4095,24.2315
1,8/18/2019,1.005162664,0.96,27.2965
1,8/19/2019,1.00461903,1.2525,28.8325
1,8/20/2019,1.000118279,0.0645,23.052
1,8/21/2019,1.004507908,0.788,27.493
1,8/22/2019,1.005108312,1.072,25.709
1,8/23/2019,1.005139582,1.272,23.701
1,8/24/2019,1.00541982,1.383,23.569
1,8/25/2019,1.005757499,1.4055,23.858
1,8/26/2019,1.000378343,0.398,23.7855
1,8/27/2019,1.004922446,1.3265,26.0005
1,8/28/2019,1.005272617,1.322,23.3285
1,8/29/2019,1.005094662,1.4985,27.6045
1,8/30/2019,1.005155466,1.284,22.7285
1,8/31/2019,1.005410386,1.4905,24.581
1,9/1/2019,1.001386887,0.5235,22.2615
1,9/2/2019,1.004872325,1.3875,27.887
1,9/3/2019,1.00148159,0.55,27.3085
1,9/4/2019,1.003986443,0.7095,20.841
1,9/5/2019,1.005184008,1.1035,22.3935
1,9/6/2019,1.002524168,0.559,21.843
1,9/7/2019,1.005180037,1.0765,23.9185
1,9/8/2019,1.002272702,0.551,18.723
1,9/9/2019,1.002456593,0.5335,22.621
1,9/10/2019,1.004595465,1.4595,30.9375
1,9/11/2019,1.004933116,1.655,31.6505
1,9/12/2019,1.004259416,0.615,26.475
1,9/13/2019,1.004926664,0.943,24.05
1,9/14/2019,1.005072823,1.31,26.036
1,9/15/2019,1.003917034,0.634,25.089
1,9/16/2019,1.00458728,0.708,24.677
1,9/17/2019,1.00534907,1.24,27.85
1,9/18/2019,1.004637386,1.386,28.32
1,9/19/2019,1.005049496,1.523,27.825
1,9/20/2019,1.004660952,1.336,28.023
1,9/21/2019,1.002931201,0.74,26.402
1,9/22/2019,1.002896037,0.673,24.267
1,9/23/2019,1.004857935,1.241,22.992
1,9/24/2019,1.004871581,1.168,24.629
1,9/25/2019,1.004943785,1.219,25.525
1,9/26/2019,1.004731405,1.51,21.604
1,9/27/2019,1.001846146,0.835,17.701
1,9/28/2019,1.000046421,0.156,14.433
1,9/29/2019,0.999872601,0.174,14.242
1,9/30/2019,1.003343602,1.2935,29.8155
1,10/1/2019,1.004186765,1.3445,29.9655
1,10/2/2019,1.000284979,0.48,22.6815
1,10/3/2019,1.003287367,0.5205,18.0335
1,10/4/2019,1.002186337,0.3395,13.846
1,10/5/2019,1.003659519,0.6865,18.3425
1,10/6/2019,1.004998624,1.1145,19.722
1,10/7/2019,1.004528494,1.428,20.9485
1,10/8/2019,1.004142879,1.4855,21.6045
1,10/9/2019,1.004307274,1.49,22.489
1,10/10/2019,1.0022925,0.565,20.2335
1,10/11/2019,1.000081485,0.2535,3.6565
1,10/12/2019,1.002385804,0.805,12.122
1,10/13/2019,1.002774211,0.7215,12.8955
1,10/14/2019,1.003118928,0.699,12.618
1,10/15/2019,1.001718017,0.4615,16.9155
1,10/16/2019,1.00215788,0.481,10.6995
1,10/17/2019,1.002434564,0.4985,11.516
1,10/18/2019,1.003213547,0.813,15.9385
1,10/19/2019,1.004215775,1.2285,20.5075
1,10/20/2019,1.003720732,0.857,18.7585
1,10/21/2019,1.003339143,1.1105,19.139
1,10/22/2019,1.00119009,0.3955,9.9645
1,10/23/2019,1.002905447,0.7805,15.2585
1,10/24/2019,1.001992105,0.4355,10.516
1,10/25/2019,1.001877068,0.4175,9.027
1,10/26/2019,1.000111364,0.162,8.1325
1,10/27/2019,1.003053541,0.637,13.714
1,10/28/2019,1.000893485,0.231,9.25
1,10/29/2019,1.000139763,0.147,3.34
1,10/30/2019,0.99987902,0.064,2.222
1,10/31/2019,0.999768422,0.007,-0.213
1,11/1/2019,1.000394152,0.3975,6.3055
1,11/2/2019,1.000332895,0.2735,4.3235
1,11/3/2019,1.001489998,0.6835,11.9405
1,11/4/2019,1.001732363,0.4525,10.907
1,11/5/2019,1.001211598,0.45,4.753
1,11/6/2019,1.001591883,0.845,13.917
1,11/7/2019,0.999892845,0.06,-0.93
1,11/8/2019,0.999927904,0.0645,-10.252
1,11/9/2019,1.00014322,0.5275,8.306
1,11/10/2019,1.000080003,0.175,4.9725
1,11/11/2019,0.999895808,0.067,-6.199
1,11/12/2019,0.999934817,0.0665,-12.5095
1,11/14/2019,0.999834582,0.0705,-3.1975
1,11/15/2019,0.999883217,0.0515,-5.4525
1,11/16/2019,1.000456894,0.366,6.165
1,11/17/2019,1.000037532,0.206,4.467
1,11/18/2019,1.00001679,0.0465,3.8145
1,11/19/2019,0.999927904,0.0685,2.503
1,11/20/2019,0.999939508,0.206,8.556
1,11/21/2019,0.999816066,0.08,5.295
