Serial Number,Date,Heat Ratio,VPD,Ambient Temp
2,10/4/2019,0.999644508,0.3395,13.846
2,10/5/2019,0.999952594,0.65,17.534
2,10/6/2019,1.000296587,1.2055,19.948
2,10/7/2019,1.000315852,1.4955,21.4375
2,10/8/2019,1.000304985,1.5465,21.915
2,10/9/2019,1.000285473,1.479,22.1425
2,10/10/2019,0.999819029,0.5745,20.555
2,10/11/2019,0.999308881,0.1865,18.3305
2,10/12/2019,0.999821004,0.844,12.642
2,10/13/2019,0.999877785,0.671,11.5765
2,10/14/2019,0.999943458,0.699,12.618
2,10/15/2019,0.999675608,0.4325,16.987
2,10/16/2019,0.99976546,0.488,10.3325
2,10/17/2019,0.999809154,0.523,11.819
2,10/18/2019,1.000008148,0.8385,15.9865
2,10/19/2019,1.000233114,1.3165,20.3765
2,10/20/2019,1.000131614,0.8785,18.2475
2,10/21/2019,0.999960248,1.03,17.962
2,10/22/2019,0.999590207,0.4045,9.805
2,10/23/2019,0.999900005,0.7805,15.2585
2,10/24/2019,0.999731147,0.4355,10.516
2,10/25/2019,0.999696342,0.431,8.5305
2,10/26/2019,0.999294076,0.0615,0.422
2,10/27/2019,0.999836557,0.673,14.732
2,10/28/2019,0.999421402,0.2165,8.99
2,10/29/2019,0.999273597,0.146,3.591
2,10/30/2019,0.999239055,0.101,1.4925
2,10/31/2019,0.999186751,0.0085,0.3705
2,11/1/2019,0.999472485,0.3355,6.013
2,11/2/2019,0.999295804,0.264,3.9975
2,11/3/2019,0.999499878,0.6675,11.5155
2,11/4/2019,0.999558122,0.4585,10.3325
2,11/5/2019,0.999446326,0.436,4.415
2,11/6/2019,0.999567748,0.726,12.9195
2,11/7/2019,0.99924695,0.06,-0.93
2,11/8/2019,0.99921759,0.0645,-10.252
2,11/9/2019,0.999525791,0.435,6.3315
2,11/10/2019,0.99928396,0.294,5.5775
2,11/11/2019,0.999233874,0.059,0.6045
2,11/12/2019,0.999098185,0.1485,-7.984
2,11/13/2019,0.998989647,0.1025,-9.1005
2,11/14/2019,0.998939328,0.113,-1.857
2,11/15/2019,0.998915897,0.0425,-2.999
2,11/16/2019,0.999459405,0.3525,6.0505
2,11/17/2019,0.999301479,0.169,3.7485
2,11/18/2019,0.999175402,0.0495,2.637
2,11/19/2019,0.99916282,0.0725,0.384
2,11/20/2019,0.999180583,0.1315,6.1915
2,11/21/2019,0.999167507,0.08,5.295
