Date,Heat Ratio,VPD,Ambient Temp
8/9/2019,1.00080378,1.904,26.5
8/10/2019,1.000765478,1.967,27.333
8/11/2019,1.000507536,1.095,26.036
8/12/2019,1.000229409,0.873,27.554
8/13/2019,1.000675537,1.186,27.776
8/14/2019,1.000674301,1.2925,27.8755
8/15/2019,1.000678749,1.244,25.6835
8/16/2019,1.000618216,1.2945,27.777
8/17/2019,0.999738553,0.4095,24.2315
8/18/2019,1.000569545,0.96,27.2965
8/19/2019,1.000522112,1.2925,29.628
8/20/2019,0.9994905,0.1985,21.8085
8/21/2019,1.000442814,0.992,27.6035
8/22/2019,1.000605615,1.049,24.5085
8/23/2019,1.000629581,1.272,23.701
8/24/2019,1.000676031,1.4105,23.4005
8/25/2019,1.000693574,1.4055,23.858
8/26/2019,0.999537391,0.398,23.7855
8/27/2019,1.00064317,1.3265,26.0005
8/28/2019,1.000785246,1.314,23.3645
8/29/2019,1.000607098,1.6965,28.5805
8/30/2019,1.000630322,1.284,22.7285
8/31/2019,1.0006575,1.413,23.894
9/1/2019,0.999817794,0.5235,22.2615
9/2/2019,1.000611545,1.367,27.3945
9/3/2019,0.999755092,0.5555,27.186
9/4/2019,1.000307455,0.7095,20.841
9/5/2019,1.000598204,1.1785,22.717
9/6/2019,0.999931607,0.559,21.843
9/7/2019,1.000578192,1.188,24.448
9/8/2019,0.999925682,0.528,18.402
9/9/2019,0.999968149,0.625,24.2915
9/10/2019,1.00055991,1.709,31.1785
9/11/2019,1.00055151,1.632,31.0395
9/12/2019,1.000233608,0.726,26.646
9/13/2019,1.000422064,0.993,23.497
9/14/2019,1.000512724,1.31,26.036
9/15/2019,1.000078275,0.634,25.089
9/16/2019,1.00032919,0.782,25.186
9/17/2019,1.000566827,1.24,27.85
9/18/2019,1.000524088,1.444,28.27
9/19/2019,1.000531993,1.523,27.825
9/20/2019,1.000495431,1.336,28.023
9/21/2019,1.000016296,0.74,26.402
9/22/2019,0.999966667,0.673,24.267
9/23/2019,1.000376861,1.241,22.992
9/24/2019,1.000413172,1.406,25.453
9/25/2019,1.000524582,1.513,25.671
9/26/2019,1.000402303,1.51,21.604
9/27/2019,0.999752623,0.835,17.701
9/28/2019,0.999309374,0.15,14.457
9/29/2019,0.999262248,0.094,19.341
9/30/2019,1.000105932,1.2935,29.8155
10/1/2019,1.000193599,1.3445,29.9655
10/2/2019,0.999437195,0.8155,26.28
10/3/2019,0.999776815,0.5205,18.0335
10/4/2019,0.999644508,0.3395,13.846
10/5/2019,0.999952594,0.65,17.534
10/6/2019,1.000296587,1.2055,19.948
10/7/2019,1.000315852,1.4955,21.4375
10/8/2019,1.000304985,1.5465,21.915
10/9/2019,1.000285473,1.479,22.1425
10/10/2019,0.999819029,0.5745,20.555
10/11/2019,0.999308881,0.1865,18.3305
10/12/2019,0.999821004,0.844,12.642
10/13/2019,0.999877785,0.671,11.5765
10/14/2019,0.999943458,0.699,12.618
10/15/2019,0.999675608,0.4325,16.987
10/16/2019,0.99976546,0.488,10.3325
10/17/2019,0.999809154,0.523,11.819
10/18/2019,1.000008148,0.8385,15.9865
10/19/2019,1.000233114,1.3165,20.3765
10/20/2019,1.000131614,0.8785,18.2475
10/21/2019,0.999960248,1.03,17.962
10/22/2019,0.999590207,0.4045,9.805
10/23/2019,0.999900005,0.7805,15.2585
10/24/2019,0.999731147,0.4355,10.516
10/25/2019,0.999696342,0.431,8.5305
10/26/2019,0.999294076,0.0615,0.422
10/27/2019,0.999836557,0.673,14.732
10/28/2019,0.999421402,0.2165,8.99
10/29/2019,0.999273597,0.146,3.591
10/30/2019,0.999239055,0.101,1.4925
10/31/2019,0.999186751,0.0085,0.3705
11/1/2019,0.999472485,0.3355,6.013
11/2/2019,0.999295804,0.264,3.9975
11/3/2019,0.999499878,0.6675,11.5155
11/4/2019,0.999558122,0.4585,10.3325
11/5/2019,0.999446326,0.436,4.415
11/6/2019,0.999567748,0.726,12.9195
11/7/2019,0.99924695,0.06,-0.93
11/8/2019,0.99921759,0.0645,-10.252
11/9/2019,0.999525791,0.435,6.3315
11/10/2019,0.99928396,0.294,5.5775
11/11/2019,0.999233874,0.059,0.6045
11/12/2019,0.999098185,0.1485,-7.984
11/13/2019,0.998989647,0.1025,-9.1005
11/14/2019,0.998939328,0.113,-1.857
11/15/2019,0.998915897,0.0425,-2.999
11/16/2019,0.999459405,0.3525,6.0505
11/17/2019,0.999301479,0.169,3.7485
11/18/2019,0.999175402,0.0495,2.637
11/19/2019,0.99916282,0.0725,0.384
11/20/2019,0.999180583,0.1315,6.1915
11/21/2019,0.999167507,0.08,5.295
